date,price,market_cap,volume,cryptocurrency,symbol,percent_change_24h
2014-01-01,4883.4581,92785703461.19,25932616.46,Bitcoin,BTC,0.0
2014-02-01,4528.9427,86049910787.59,425936494.06,Bitcoin,BTC,-7.2595
2014-03-01,5230.149,99372831342.83,173212266.01,Bitcoin,BTC,15.4828
2014-04-01,4531.3672,86095976672.85,492257401.11,Bitcoin,BTC,-13.3606
2014-05-01,4970.2206,94434192144.36,893548830.14,Bitcoin,BTC,9.6848
2014-06-01,5337.07,101404329226.26,317136754.99,Bitcoin,BTC,7.3809
2014-07-01,5301.1295,100721459684.13,977195978.48,Bitcoin,BTC,-0.6734
2014-08-01,4618.6491,87754332424.65,815793265.32,Bitcoin,BTC,-12.8742
2014-09-01,5423.3198,103043076253.49,624311289.78,Bitcoin,BTC,17.4222
2014-10-01,5143.3709,97724047561.46,78177999.2,Bitcoin,BTC,-5.1619
2014-11-01,4566.9291,86771652692.79,180270810.84,Bitcoin,BTC,-11.2075
2014-12-01,5120.5282,97290036288.25,613707946.18,Bitcoin,BTC,12.1219
2015-01-01,5343.017,101517322588.6,181425925.48,Bitcoin,BTC,4.345
2015-02-01,4950.3086,94055862492.98,312631058.24,Bitcoin,BTC,-7.3499
2015-03-01,5516.3126,104809940077.91,304583014.64,Bitcoin,BTC,11.4337
2015-04-01,5483.6076,104188545298.37,361582189.14,Bitcoin,BTC,-0.5929
2015-05-01,5139.5131,97650749641.11,836346211.17,Bitcoin,BTC,-6.275
2015-06-01,4870.2268,92534310063.83,43055098.02,Bitcoin,BTC,-5.2395
2015-07-01,5115.5979,97196360241.08,11131131.69,Bitcoin,BTC,5.0382
2015-08-01,5337.2417,101407591361.32,194641581.23,Bitcoin,BTC,4.3327
2015-09-01,4935.6838,93777991871.14,227111990.92,Bitcoin,BTC,-7.5237
2015-10-01,5066.0624,96255185349.67,457906231.65,Bitcoin,BTC,2.6416
2015-11-01,4836.26,91888939649.37,329600938.17,Bitcoin,BTC,-4.5361
2015-12-01,5644.677,107248862627.07,679861640.71,Bitcoin,BTC,16.7157
2016-01-01,5932.7948,112723100431.85,909037819.81,Bitcoin,BTC,5.1042
2016-02-01,5195.6963,98718229756.0,242512428.03,Bitcoin,BTC,-12.4241
2016-03-01,5036.8336,95699839262.55,468151071.17,Bitcoin,BTC,-3.0576
2016-04-01,5298.5462,100672377097.1,875894802.87,Bitcoin,BTC,5.196
2016-05-01,5161.0534,98060014799.28,326195323.9,Bitcoin,BTC,-2.5949
2016-06-01,5645.9943,107273891004.14,918835559.18,Bitcoin,BTC,9.3962
2016-07-01,5974.0584,113507109357.78,457147299.17,Bitcoin,BTC,5.8106
2016-08-01,6028.7953,114547110517.39,803507672.52,Bitcoin,BTC,0.9162
2016-09-01,5368.2106,101996001887.75,611596164.09,Bitcoin,BTC,-10.9572
2016-10-01,5857.5437,111293329480.58,782994061.67,Bitcoin,BTC,9.1154
2016-11-01,5083.8717,96593562798.69,911135620.92,Bitcoin,BTC,-13.2081
2016-12-01,5249.6706,99743741536.83,45491990.27,Bitcoin,BTC,3.2613
2017-01-01,26989.3806,512798231211.98,702992251.94,Bitcoin,BTC,414.1157
2017-02-01,26100.3137,495905960945.25,873225776.09,Bitcoin,BTC,-3.2941
2017-03-01,25390.6069,482421530643.81,152626063.14,Bitcoin,BTC,-2.7192
2017-04-01,25528.2031,485035859015.13,803242077.53,Bitcoin,BTC,0.5419
2017-05-01,27496.7053,522437400266.96,358371948.68,Bitcoin,BTC,7.7111
2017-06-01,24930.9251,473687576432.87,709390795.96,Bitcoin,BTC,-9.3312
2017-07-01,23078.8548,438498241191.21,456810114.34,Bitcoin,BTC,-7.4288
2017-08-01,26616.3669,505710971312.78,670078346.91,Bitcoin,BTC,15.3279
2017-09-01,24925.5547,473585539637.69,788815033.71,Bitcoin,BTC,-6.3525
2017-10-01,27460.3119,521745925430.68,876670657.77,Bitcoin,BTC,10.1693
2017-11-01,25653.9863,487425740165.62,776906190.58,Bitcoin,BTC,-6.5779
2017-12-01,26360.0278,500840528644.79,749155350.34,Bitcoin,BTC,2.7522
2018-01-01,11567.2211,219777201080.71,764767433.18,Bitcoin,BTC,-56.1183
2018-02-01,12985.6816,246727950976.85,231194535.5,Bitcoin,BTC,12.2628
2018-03-01,12779.1638,242804112590.02,807153430.12,Bitcoin,BTC,-1.5904
2018-04-01,12127.8037,230428270383.31,278471998.79,Bitcoin,BTC,-5.097
2018-05-01,12394.9064,235503221112.27,78735263.67,Bitcoin,BTC,2.2024
2018-06-01,12082.1542,229560929178.17,494237493.13,Bitcoin,BTC,-2.5232
2018-07-01,11269.8112,214126413626.44,674676568.75,Bitcoin,BTC,-6.7235
2018-08-01,11772.7192,223681664510.92,921700517.78,Bitcoin,BTC,4.4624
2018-09-01,11622.3171,220824025126.61,480231084.4,Bitcoin,BTC,-1.2775
2018-10-01,13210.0465,250990882870.39,884162692.36,Bitcoin,BTC,13.661
2018-11-01,11938.8402,226837964194.32,126400953.92,Bitcoin,BTC,-9.623
2018-12-01,13561.2373,257663508124.94,377869790.44,Bitcoin,BTC,13.5892
2019-01-01,15090.1122,286712131865.84,32237762.95,Bitcoin,BTC,11.2739
2019-02-01,13753.7671,261321574415.61,984600336.96,Bitcoin,BTC,-8.8558
2019-03-01,15489.1963,294294730323.29,71902698.14,Bitcoin,BTC,12.6178
2019-04-01,16268.5992,309103385075.52,170878885.06,Bitcoin,BTC,5.0319
2019-05-01,14174.0891,269307692361.5,282015647.48,Bitcoin,BTC,-12.8746
2019-06-01,16497.3425,313449508191.91,792018568.92,Bitcoin,BTC,16.3908
2019-07-01,14711.3088,279514868125.59,487907744.6,Bitcoin,BTC,-10.8262
2019-08-01,14625.2025,277878847509.48,935234993.67,Bitcoin,BTC,-0.5853
2019-09-01,14784.5625,280906687282.57,363546849.57,Bitcoin,BTC,1.0896
2019-10-01,14981.8297,284654765199.43,461173394.6,Bitcoin,BTC,1.3343
